Date,Fund,Index
6/12/2016,100,100
6/19/2016,105.7185583,97.887554
6/26/2016,102.9587494,95.33217539
7/3/2016,105.2769977,97.47870159
7/10/2016,102.6643862,95.05961685
7/17/2016,98.24871293,90.97103049
7/24/2016,94.090627,87.12095093
7/31/2016,93.50186286,86.57579895
8/7/2016,92.80271492,85.92843974
8/14/2016,98.39590376,91.1073183
8/21/2016,99.27903071,91.92502844
8/28/2016,94.82656927,87.80237895
9/4/2016,95.67290804,88.58602596
9/11/2016,98.21191205,90.9369556
9/18/2016,94.49538631,87.49572807
9/25/2016,101.8916365,94.34410786
10/2/2016,101.0821048,93.59454144
10/9/2016,102.0388212,94.48038998
10/16/2016,114.6234939,106.1328647
10/23/2016,112.8572396,104.4974441
10/30/2016,112.2316688,103.9182119
11/6/2016,106.1233242,98.26233721
11/13/2016,110.0238539,101.8739388
11/20/2016,109.7662539,101.6354203
11/27/2016,107.00647,99.08006481
12/4/2016,109.6558578,101.5332017
12/11/2016,116.8681409,108.2112415
12/18/2016,113.4827858,105.0766535
12/25/2016,115.948213,107.3594565
1/1/2017,116.5369645,107.9045967
1/8/2017,114.954683,106.4395213
1/15/2017,130.1151668,120.4770063
1/22/2017,127.0241938,117.6149943
1/29/2017,129.0480354,119.4889217
2/5/2017,127.8705203,118.3986299
2/12/2017,123.2708549,114.1396804
2/19/2017,123.8596063,114.6848207
2/26/2017,125.9202677,116.5928405
3/5/2017,123.8596063,114.6848207
3/12/2017,126.4722244,117.1039115
3/19/2017,127.9441093,118.4667679
3/26/2017,130.2623453,120.6132827
4/2/2017,131.9918303,122.2146577
4/9/2017,131.2190679,121.4991369
4/16/2017,136.8490576,126.7120904
4/23/2017,134.7883963,124.8040706
4/30/2017,146.563525,135.7069676
5/7/2017,151.7519414,140.5110568
5/14/2017,144.7604636,134.0374663
5/21/2017,143.1781949,132.5724027
5/28/2017,142.0187515,131.498844
6/4/2017,143.2546605,132.6432041
6/11/2017,135.6893015,125.6382422
6/18/2017,136.550711,126.4358435
6/25/2017,138.236072,127.996363
7/2/2017,132.6182392,122.7946659
7/9/2017,132.9927637,123.1414479
